codigo,nombre,cantidad_disponible,precio,fecha_vencimiento,dosis,cantidad_vendida,fecha
097,Losartin,440,23.99,2027-04-16,50 mg,39,2024-11-10
098,Salbutamol,486,21.96,2027-03-02,100 mcg,110,2025-02-28
099,Naproxeno,283,5.69,2027-09-13,500 mg,162,2024-08-02
100,Clorfenamina,404,21.31,2026-09-19,4 mg,94,2024-08-31
101,Dipirona,139,18.05,2027-04-05,500 mg,126,2024-11-07
102,Ranitidina,375,16.79,2027-01-16,150 mg,136,2024-10-05
103,Cetirizina,143,23.78,2027-03-30,10 mg,145,2024-11-06
104,Azitromicina,332,18.74,2027-08-11,500 mg,103,2025-03-05
105,Paracetamol,125,3.74,2025-12-08,500 mg,38,2024-09-14
106,Ibuprofeno,437,8.43,2025-10-20,400 mg,139,2025-02-03
107,Amoxicilina,247,15.83,2025-09-27,500 mg,52,2025-03-05
108,Loratadina,378,21.51,2025-10-28,10 mg,40,2024-08-13
109,Omeprazol,471,2.07,2026-10-12,20 mg,72,2024-06-28
110,Metformina,181,23.22,2025-09-11,850 mg,28,2025-04-05
111,Atorvastatina,453,18.26,2026-10-05,20 mg,125,2024-10-14
112,Losartin,473,11.55,2027-05-06,50 mg,118,2024-10-25
113,Salbutamol,479,6.17,2026-12-19,100 mcg,81,2024-06-27
114,Naproxeno,96,13.54,2027-04-11,500 mg,197,2025-01-28
115,Clorfenamina,373,22.6,2027-05-22,4 mg,39,2024-09-29
116,Dipirona,418,12.13,2026-11-25,500 mg,112,2025-04-10
117,Ranitidina,157,2.93,2025-09-12,150 mg,167,2024-11-20
118,Cetirizina,34,8.15,2027-03-10,10 mg,74,2024-11-02
119,Azitromicina,455,12.94,2027-01-05,500 mg,17,2024-11-07
120,Paracetamol,432,6.26,2027-02-14,500 mg,97,2025-01-26
121,Ibuprofeno,58,4.24,2026-04-02,400 mg,87,2024-08-08
122,Amoxicilina,135,1.98,2027-04-27,500 mg,54,2025-05-10
123,Loratadina,22,8.79,2027-09-10,10 mg,32,2025-04-18
124,Omeprazol,499,13.98,2026-10-05,20 mg,149,2024-10-27
125,Metformina,443,4.15,2026-04-03,850 mg,68,2025-02-05
126,Atorvastatina,308,2.26,2026-01-02,20 mg,0,2025-02-12
127,Losartin,121,14.92,2027-09-16,50 mg,95,2024-10-03
128,Salbutamol,227,19.22,2026-07-26,100 mcg,38,2024-11-07
129,Naproxeno,347,21.09,2026-01-14,500 mg,43,2024-09-21
130,Clorfenamina,157,17.78,2025-09-05,4 mg,120,2024-10-30
131,Dipirona,65,12.94,2025-12-03,500 mg,85,2025-01-23
132,Ranitidina,148,1.53,2025-10-26,150 mg,141,2024-06-15
133,Cetirizina,76,23.72,2025-10-26,10 mg,90,2025-05-13
134,Azitromicina,378,9.71,2026-02-13,500 mg,12,2024-06-28
135,Paracetamol,422,22.91,2025-11-24,500 mg,20,2025-01-04
136,Ibuprofeno,306,9.43,2027-06-27,400 mg,194,2024-06-04
137,Amoxicilina,340,5.38,2027-02-01,500 mg,79,2024-12-15
138,Loratadina,10,16.62,2026-05-12,10 mg,168,2025-02-11
139,Omeprazol,150,16.26,2026-04-12,20 mg,120,2025-02-13
140,Metformina,34,10.51,2026-10-28,850 mg,46,2025-02-12
141,Atorvastatina,385,9.29,2026-12-24,20 mg,75,2025-05-03
142,Losartin,193,18.45,2026-04-20,50 mg,104,2024-07-04
143,Salbutamol,184,7.91,2026-06-03,100 mcg,62,2024-08-15
144,Naproxeno,320,3.28,2025-11-15,500 mg,195,2024-06-15
145,Clorfenamina,308,5.67,2027-10-19,4 mg,187,2024-06-26
146,Dipirona,400,12.18,2026-10-01,500 mg,148,2025-04-29
147,Ranitidina,328,14.8,2026-05-15,150 mg,124,2024-06-20
148,Cetirizina,344,13.61,2025-09-29,10 mg,23,2024-12-08
149,Azitromicina,201,21.84,2025-07-10,500 mg,39,2025-03-06
150,Paracetamol,45,19.91,2027-07-31,500 mg,20,2024-07-26
151,Ibuprofeno,360,2.2,2026-11-06,400 mg,185,2024-09-25
152,Amoxicilina,44,3.09,2025-07-02,500 mg,187,2024-08-20
153,Loratadina,495,8.02,2026-11-29,10 mg,158,2024-09-19
154,Omeprazol,374,13.15,2026-12-21,20 mg,45,2025-05-08
155,Metformina,376,10.05,2025-10-10,850 mg,16,2024-11-02
156,Atorvastatina,68,18.7,2025-11-13,20 mg,192,2025-02-27
157,Losartin,389,14.87,2026-03-21,50 mg,80,2024-07-03
158,Salbutamol,132,4.22,2026-02-26,100 mcg,177,2024-08-18
159,Naproxeno,134,10.63,2027-04-19,500 mg,69,2025-04-25
160,Clorfenamina,385,12.17,2025-09-01,4 mg,113,2024-09-30
161,Dipirona,428,24.34,2027-06-15,500 mg,178,2024-09-19
162,Ranitidina,493,13.8,2026-01-30,150 mg,131,2024-11-13
163,Cetirizina,403,9.7,2025-10-12,10 mg,53,2024-07-26
164,Azitromicina,180,9.11,2026-08-26,500 mg,143,2025-05-24
165,Paracetamol,172,16.87,2027-05-03,500 mg,0,2024-12-21
166,Ibuprofeno,25,7.09,2026-06-26,400 mg,85,2025-02-01
167,Amoxicilina,343,8.26,2026-05-07,500 mg,68,2024-08-02
168,Loratadina,493,6.81,2026-02-16,10 mg,50,2024-12-16
169,Omeprazol,389,7.69,2026-08-16,20 mg,136,2024-09-28
170,Metformina,99,19.04,2026-07-22,850 mg,93,2024-11-01
171,Atorvastatina,208,9.76,2026-12-14,20 mg,143,2024-12-18
172,Losartin,379,10.34,2025-12-31,50 mg,134,2025-05-14
173,Salbutamol,431,12.95,2026-05-04,100 mcg,24,2024-06-12
174,Naproxeno,465,12.39,2026-11-25,500 mg,91,2025-03-14
175,Clorfenamina,384,3.69,2026-12-27,4 mg,33,2024-12-31
176,Dipirona,352,17.49,2026-12-24,500 mg,190,2024-11-13
177,Ranitidina,273,4.78,2026-04-14,150 mg,46,2024-09-17
178,Cetirizina,302,5.37,2026-11-24,10 mg,138,2025-04-13
179,Azitromicina,354,12.25,2026-10-09,500 mg,144,2025-02-04
180,Paracetamol,360,3.92,2026-03-01,500 mg,184,2025-03-28
181,Ibuprofeno,454,22.99,2027-09-02,400 mg,50,2025-04-06
182,Amoxicilina,474,3.04,2025-11-26,500 mg,42,2025-03-13
183,Loratadina,173,11.94,2025-12-08,10 mg,73,2024-08-30
184,Omeprazol,461,22.61,2026-11-21,20 mg,186,2024-08-10
185,Metformina,444,23.68,2027-08-19,850 mg,141,2024-06-06
186,Atorvastatina,136,6.69,2027-08-19,20 mg,6,2025-05-31
187,Losartin,385,13.02,2026-10-19,50 mg,34,2025-04-04
188,Salbutamol,448,6.15,2025-12-07,100 mcg,101,2025-03-31
189,Naproxeno,289,17.17,2025-11-08,500 mg,113,2024-11-08
190,Clorfenamina,359,18.46,2026-03-07,4 mg,168,2024-10-09
191,Dipirona,251,4.93,2027-02-07,500 mg,106,2024-07-25
192,Ranitidina,367,22.59,2026-02-17,150 mg,74,2024-05-31
193,Cetirizina,115,11.12,2025-09-04,10 mg,137,2024-07-23
194,Azitromicina,409,7.27,2026-09-02,500 mg,158,2025-04-01
195,Paracetamol,143,24.56,2026-11-29,500 mg,21,2024-06-19
196,Ibuprofeno,500,5.13,2026-01-22,400 mg,75,2025-05-02
197,Amoxicilina,102,21.31,2027-10-21,500 mg,198,2024-07-29
198,Loratadina,122,22.32,2026-05-24,10 mg,170,2025-01-15
199,Omeprazol,166,9.71,2026-11-15,20 mg,22,2025-01-12
200,Metformina,317,4.56,2026-06-19,850 mg,88,2024-09-04
201,Atorvastatina,274,22.95,2027-09-02,20 mg,120,2024-10-08
202,Losartin,111,19.58,2026-02-13,50 mg,123,2024-08-23
203,Salbutamol,131,24.66,2026-01-22,100 mcg,140,2024-09-11
204,Naproxeno,416,14.63,2026-11-02,500 mg,41,2024-06-20
205,Clorfenamina,491,21.28,2027-02-01,4 mg,5,2024-06-28
206,Dipirona,165,23.83,2026-12-12,500 mg,112,2025-04-01
207,Ranitidina,158,3.9,2025-07-28,150 mg,26,2025-01-12
208,Cetirizina,71,2.16,2025-10-22,10 mg,169,2024-09-11
209,Azitromicina,474,12.39,2027-07-20,500 mg,75,2025-02-22
210,Paracetamol,57,16.23,2027-11-02,500 mg,94,2025-05-11
211,Ibuprofeno,217,17.81,2027-05-13,400 mg,65,2024-09-28
212,Amoxicilina,423,3.33,2026-05-15,500 mg,0,2025-03-30
213,Loratadina,494,7.24,2025-11-10,10 mg,17,2025-05-15
214,Omeprazol,240,17.4,2026-12-28,20 mg,161,2025-04-20
215,Metformina,196,16.84,2027-07-23,850 mg,11,2024-12-03
216,Atorvastatina,484,10.4,2026-11-30,20 mg,72,2025-02-26
217,Losartin,210,3.42,2025-12-29,50 mg,65,2024-08-23
218,Salbutamol,57,12.07,2025-09-15,100 mcg,17,2025-03-19
219,Naproxeno,500,15.36,2025-09-24,500 mg,9,2025-03-13
220,Clorfenamina,336,3.26,2026-09-21,4 mg,16,2025-01-21
221,Dipirona,426,13.75,2027-09-09,500 mg,12,2025-04-07
222,Ranitidina,92,9.41,2026-01-19,150 mg,83,2024-12-18
223,Cetirizina,177,23.99,2026-08-27,10 mg,192,2025-02-20
224,Azitromicina,319,8.96,2027-07-31,500 mg,43,2025-03-17
225,Paracetamol,203,8.54,2026-11-12,500 mg,103,2025-03-07
226,Ibuprofeno,289,17.78,2027-09-25,400 mg,21,2024-11-27
227,Amoxicilina,143,17.5,2026-03-10,500 mg,52,2025-03-17
228,Loratadina,219,5.82,2026-11-01,10 mg,61,2024-07-31
229,Omeprazol,391,3.15,2027-10-28,20 mg,186,2024-10-22
230,Metformina,383,15.14,2027-02-18,850 mg,27,2024-09-13
231,Atorvastatina,468,21.93,2026-05-16,20 mg,197,2024-12-15
232,Losartin,131,24.34,2027-07-31,50 mg,160,2024-06-09
233,Salbutamol,387,21.91,2027-08-30,100 mcg,97,2025-04-28
234,Naproxeno,198,17.04,2025-09-26,500 mg,36,2025-02-20
235,Clorfenamina,222,4.41,2027-07-26,4 mg,36,2025-02-06
236,Dipirona,220,13.73,2026-12-12,500 mg,170,2024-08-05
237,Ranitidina,458,15.12,2026-01-15,150 mg,19,2024-06-01
238,Cetirizina,168,23.43,2026-08-14,10 mg,25,2024-10-28
239,Azitromicina,347,21.19,2026-05-25,500 mg,98,2024-11-25
240,Paracetamol,396,12.02,2025-11-23,500 mg,76,2025-04-02
241,Ibuprofeno,410,4.18,2025-07-17,400 mg,195,2024-10-30
242,Amoxicilina,204,5.16,2026-02-11,500 mg,105,2025-04-29
243,Loratadina,320,22.48,2027-06-08,10 mg,69,2024-10-31
244,Omeprazol,107,13.04,2027-01-28,20 mg,94,2024-09-26
245,Metformina,79,15.06,2026-09-15,850 mg,19,2024-12-07
246,Atorvastatina,338,5.87,2026-06-01,20 mg,18,2025-05-13
247,Losartin,484,6.15,2025-11-14,50 mg,118,2025-02-05
248,Salbutamol,491,3.09,2027-06-27,100 mcg,68,2024-08-14
249,Naproxeno,421,11.08,2027-09-27,500 mg,122,2024-12-18
250,Clorfenamina,164,11.67,2026-07-08,4 mg,145,2024-08-24
251,Dipirona,35,22.74,2025-07-29,500 mg,60,2025-01-10
252,Atorvastatina,178,23.58,2027-06-18,20 mg,74,2024-07-05
253,Azitromicina,255,20.0,2026-10-21,500 mg,22,2024-09-29
254,Loratadina,195,6.58,2026-02-27,10 mg,123,2024-09-14
255,Paracetamol,357,6.76,2025-08-26,500 mg,125,2025-03-22
256,Amoxicilina,340,24.51,2027-05-16,500 mg,71,2025-03-05
257,Cetirizina,401,9.38,2027-02-25,10 mg,191,2025-02-21
258,Cetirizina,154,16.08,2026-10-06,10 mg,42,2024-09-16
259,Amoxicilina,419,15.49,2026-07-11,500 mg,182,2025-05-09
260,Ranitidina,234,15.7,2025-10-06,150 mg,160,2024-09-16
261,Losartan,224,14.14,2025-09-19,50 mg,58,2024-06-05
262,Clorfenamina,71,19.5,2026-04-28,4 mg,11,2025-03-28
263,Atorvastatina,373,14.52,2025-09-15,20 mg,152,2025-05-17
264,Loratadina,155,23.22,2026-10-08,10 mg,91,2024-10-05
265,Cetirizina,208,13.22,2027-09-04,10 mg,78,2025-04-28
266,Dipirona,160,12.39,2026-01-02,500 mg,92,2024-12-12
267,Losartan,115,16.0,2027-06-18,50 mg,61,2025-01-23
268,Atorvastatina,476,17.2,2026-12-17,20 mg,161,2025-03-02
269,Paracetamol,39,15.97,2026-01-08,500 mg,40,2024-10-28
270,Clorfenamina,197,9.16,2026-08-13,4 mg,12,2025-03-30
271,Paracetamol,400,24.86,2026-04-26,500 mg,80,2024-06-05
272,Losartan,352,11.49,2027-01-23,50 mg,148,2024-10-01
273,Loratadina,182,23.76,2027-08-06,10 mg,199,2025-01-26
274,Omeprazol,30,8.1,2026-01-06,20 mg,114,2024-07-24
275,Cetirizina,100,7.93,2025-09-24,10 mg,166,2024-06-15
276,Naproxeno,284,20.06,2027-01-16,500 mg,138,2024-11-15
277,Atorvastatina,322,17.46,2026-03-10,20 mg,155,2024-07-17
278,Atorvastatina,470,17.07,2026-07-10,20 mg,17,2024-08-16
279,Azitromicina,43,15.93,2025-09-09,500 mg,159,2024-07-08
280,Salbutamol,46,17.89,2027-08-06,100 mcg,174,2024-11-07
281,Ranitidina,449,7.37,2026-03-03,150 mg,79,2025-04-06
282,Clorfenamina,314,12.38,2025-09-22,4 mg,89,2025-03-30
283,Ibuprofeno,433,4.53,2027-01-18,400 mg,31,2025-02-11
284,Losartan,311,17.64,2026-03-03,50 mg,71,2024-12-21
285,Ibuprofeno,409,24.31,2026-11-29,400 mg,153,2024-09-26
289,Dipirona,320,17.41,2025-11-23,500 mg,130,2025-05-23
290,Loratadina,409,18.2,2027-05-03,10 mg,152,2024-12-01
291,Metformina,119,15.05,2027-01-26,850 mg,199,2025-01-16
292,Ibuprofeno,248,8.61,2027-07-17,400 mg,193,2024-12-31
293,Dipirona,228,22.59,2026-12-04,500 mg,81,2025-05-29
294,Cetirizina,62,23.92,2027-01-18,10 mg,149,2025-01-05
295,Ibuprofeno,396,13.08,2027-07-09,400 mg,194,2025-05-13
296,Cetirizina,357,22.79,2026-02-04,10 mg,58,2025-05-01
297,Losartan,421,4.91,2027-08-01,50 mg,7,2024-09-22
298,Clorfenamina,251,3.45,2027-08-06,4 mg,5,2024-09-14
300,Ranitidina,59,18.98,2026-02-12,150 mg,177,2024-09-28
301,Atorvastatina,201,5.64,2027-07-29,20 mg,108,2024-11-06
302,Amoxicilina,272,4.14,2026-02-19,500 mg,107,2025-02-20
303,Cetirizina,343,17.73,2026-08-25,10 mg,28,2024-11-27
304,Azitromicina,223,24.25,2027-05-02,500 mg,27,2024-06-08
305,Losartan,54,13.26,2027-01-18,50 mg,156,2025-02-18
306,Atorvastatina,192,9.77,2025-09-08,20 mg,31,2024-07-15
307,Naproxeno,268,24.98,2027-11-10,500 mg,109,2024-10-07
308,Cetirizina,176,4.2,2026-07-05,10 mg,119,2024-07-20
309,Clorfenamina,269,19.49,2027-02-15,4 mg,57,2024-12-01
310,Salbutamol,85,7.44,2026-08-23,100 mcg,38,2025-05-21
311,Atorvastatina,223,19.03,2027-01-23,20 mg,8,2024-10-04
312,Losartan,314,3.29,2027-08-12,50 mg,191,2025-04-14
313,Omeprazol,455,24.52,2027-01-19,20 mg,35,2024-11-27
314,Dipirona,149,20.68,2026-06-10,500 mg,52,2024-08-23
315,Dipirona,65,22.14,2026-03-28,500 mg,150,2024-11-29
316,Clorfenamina,325,23.78,2027-09-22,4 mg,157,2024-10-29
317,Metformina,84,5.87,2027-05-19,850 mg,67,2024-11-03
318,Amoxicilina,214,18.17,2026-01-07,500 mg,37,2024-07-15
319,Cetirizina,348,3.07,2026-12-15,10 mg,110,2024-06-25
320,Ibuprofeno,278,13.18,2027-10-06,400 mg,101,2024-12-19
321,Atorvastatina,413,10.93,2026-08-15,20 mg,169,2024-11-19
322,Loratadina,164,21.7,2026-09-10,10 mg,164,2024-10-04
323,Metformina,294,17.84,2026-10-27,850 mg,170,2024-12-14
324,Azitromicina,311,18.89,2026-03-15,500 mg,194,2025-03-08
325,Cetirizina,485,2.29,2027-01-14,10 mg,73,2025-03-29
326,Azitromicina,218,16.26,2027-08-31,500 mg,179,2025-01-05
327,Amoxicilina,49,16.35,2025-07-14,500 mg,74,2024-08-30
328,Ibuprofeno,108,12.27,2026-07-01,400 mg,173,2025-01-31
329,Omeprazol,173,11.08,2027-09-12,20 mg,45,2024-07-18
330,Ibuprofeno,378,16.37,2026-09-07,400 mg,131,2024-10-01
331,Ranitidina,120,21.56,2025-11-18,150 mg,114,2025-04-02
332,Salbutamol,251,21.5,2026-04-10,100 mcg,136,2024-12-03
333,Ranitidina,205,23.42,2026-04-18,150 mg,163,2024-11-10
334,Naproxeno,33,23.69,2026-01-16,500 mg,27,2024-06-20
335,Omeprazol,467,15.59,2026-09-08,20 mg,192,2025-04-28
336,Loratadina,27,11.24,2027-10-08,10 mg,64,2024-12-22
337,Paracetamol,139,21.48,2027-06-09,500 mg,183,2024-12-10
338,Ibuprofeno,89,8.75,2026-08-19,400 mg,195,2025-02-22
339,Clorfenamina,244,6.87,2026-07-12,4 mg,56,2024-12-13
340,Ranitidina,401,6.17,2027-01-19,150 mg,19,2025-04-28
341,Omeprazol,394,8.08,2027-01-11,20 mg,14,2024-11-01
342,Cetirizina,311,12.33,2026-07-16,10 mg,66,2024-10-28
343,Clorfenamina,275,9.05,2025-12-23,4 mg,97,2025-04-28
344,Loratadina,372,15.62,2026-11-27,10 mg,53,2024-06-21
345,Atorvastatina,384,17.92,2027-03-14,20 mg,38,2024-09-06
346,Ibuprofeno,333,16.67,2025-12-22,400 mg,181,2025-01-14
347,Clorfenamina,494,14.02,2027-09-22,4 mg,116,2025-04-17
348,Omeprazol,348,7.43,2026-03-18,20 mg,159,2024-07-12
349,Naproxeno,464,15.28,2026-02-03,500 mg,56,2024-12-23
350,Omeprazol,27,1.92,2027-10-29,20 mg,63,2025-04-09
351,Omeprazol,340,21.71,2027-04-03,20 mg,148,2024-12-30
352,Losartan,193,17.51,2027-10-02,50 mg,84,2024-11-09
353,Loratadina,370,6.65,2025-07-19,10 mg,156,2025-01-14
354,Atorvastatina,245,7.21,2026-03-24,20 mg,91,2025-04-09
355,Amoxicilina,108,13.28,2026-05-18,500 mg,122,2025-05-02
356,Metformina,497,3.68,2026-04-27,850 mg,148,2024-07-14
357,Atorvastatina,420,15.16,2026-01-19,20 mg,56,2025-05-30
358,Naproxeno,383,11.21,2026-05-20,500 mg,157,2024-12-10
359,Salbutamol,296,16.86,2026-07-01,100 mcg,19,2025-05-31
360,Paracetamol,239,14.51,2027-06-28,500 mg,1,2024-11-18
361,Loratadina,357,22.2,2025-07-18,10 mg,142,2025-05-29
362,Naproxeno,438,9.89,2027-08-08,500 mg,0,2025-01-28
363,Metformina,141,5.98,2026-03-29,850 mg,187,2024-06-02
364,Ibuprofeno,329,9.0,2025-10-18,400 mg,99,2025-03-02
365,Salbutamol,28,6.7,2025-10-30,100 mcg,38,2024-07-30
366,Loratadina,221,14.37,2027-08-12,10 mg,73,2025-03-14
367,Atorvastatina,396,24.16,2025-12-06,20 mg,48,2024-11-03
368,Naproxeno,179,19.24,2026-12-12,500 mg,89,2025-04-22
369,Omeprazol,196,13.77,2025-12-01,20 mg,162,2024-09-23
370,Ranitidina,83,24.94,2025-12-15,150 mg,176,2025-03-02
371,Ibuprofeno,475,23.81,2027-10-13,400 mg,84,2025-05-19
372,Atorvastatina,176,22.96,2026-01-20,20 mg,179,2025-05-05
373,Atorvastatina,50,4.67,2025-11-05,20 mg,41,2025-01-21
374,Ranitidina,232,22.7,2027-09-09,150 mg,80,2024-09-05
375,Metformina,58,17.25,2027-09-10,850 mg,173,2025-03-25
376,Azitromicina,455,12.27,2026-09-21,500 mg,98,2024-09-30
377,Omeprazol,487,17.5,2027-06-11,20 mg,35,2024-08-29
378,Dipirona,179,16.46,2026-06-06,500 mg,179,2024-11-14
379,Atorvastatina,425,24.37,2027-04-09,20 mg,111,2025-03-30
380,Omeprazol,350,20.72,2027-03-29,20 mg,180,2024-10-19
381,Cetirizina,236,10.18,2025-08-18,10 mg,169,2024-07-24
382,Losartan,384,7.24,2025-08-02,50 mg,106,2025-03-16
383,Omeprazol,309,4.68,2025-08-08,20 mg,67,2025-02-13
384,Omeprazol,156,19.67,2027-01-07,20 mg,51,2024-12-27
385,Ibuprofeno,417,17.04,2025-09-17,400 mg,166,2025-01-30
386,Ranitidina,325,21.33,2027-11-06,150 mg,25,2025-05-08
387,Omeprazol,500,20.91,2026-05-04,20 mg,141,2024-06-04
388,Loratadina,265,14.78,2026-10-08,10 mg,88,2025-04-14
389,Metformina,68,24.44,2026-12-27,850 mg,157,2024-06-19
390,Paracetamol,301,8.69,2025-07-22,500 mg,57,2025-01-14
391,Amoxicilina,133,15.95,2027-03-09,500 mg,98,2024-09-10
392,Ibuprofeno,29,5.88,2027-06-24,400 mg,168,2025-01-11
